,Wake,Light,Deep,REM
1115,87,328,57,105
1116,98,384,97,199
1117,60,276,47,30
1118,82,352,74,159
1119,50,274,73,90
1120,0,0,0,0
1121,47,196,79,93
1122,34,241,46,121
1123,55,286,63,54
1124,65,273,93,45
1125,68,225,104,133
1126,84,337,123,159
1127,40,189,95,116
1128,30,222,83,115
1129,48,275,64,68
1130,0,0,0,0
1131,71,247,104,77
1132,70,360,82,150
1133,40,214,74,49
1134,109,497,108,85
1135,41,226,80,116
1136,0,0,0,0
1137,47,262,34,101
1138,0,0,0,0
1139,52,244,77,83
1140,0,0,0,0
1141,52,235,68,106
1142,0,0,0,0
1143,35,214,53,35
1144,88,433,65,115
1145,58,382,82,145
1146,60,257,78,66
1147,0,0,0,0
1148,58,258,25,92
1149,64,305,79,111
1150,0,0,0,0
1151,60,268,36,24
1152,58,316,81,135
1153,65,278,84,162
1154,74,315,79,128
1155,76,305,95,139
1156,77,301,84,98
1157,66,352,75,124
1158,64,245,55,79
1159,61,345,70,136
1160,71,281,114,148
1161,56,308,107,110
1162,78,364,92,108
1163,47,311,93,127
1164,65,329,89,133
1165,48,353,77,145
1166,37,128,45,43
1167,72,344,86,153
1168,52,329,42,86
1169,76,270,114,137
1170,69,266,58,42
1171,60,317,89,114
1172,42,188,72,86
1173,57,195,73,67
1174,53,297,98,149
1175,31,192,31,82
1176,0,0,0,0
1177,32,188,16,35
1178,42,222,49,84
1179,67,312,85,103
1180,68,279,99,114
1181,59,345,74,139
1182,34,282,63,107
1183,52,195,62,109
1184,52,207,84,107
1185,55,273,50,113
1186,90,366,83,140
1187,50,242,58,106
1188,35,240,80,118
1189,45,264,60,126
1190,64,294,53,107
1191,37,211,76,103
1192,92,381,90,76
1193,46,238,64,99
1194,53,250,80,103
1195,53,241,83,130
1196,66,244,42,123
1197,67,262,89,113
1198,68,313,120,125
1199,51,197,90,76
1200,100,301,116,92
1201,75,356,121,115
1202,71,298,78,105
1203,78,340,91,100
1204,58,310,104,123
1205,95,341,81,119
1206,73,311,125,170
1207,41,241,72,110
1208,48,396,68,175
1209,0,0,0,0
1210,58,285,51,32
1211,67,358,88,136
1212,64,305,79,111
1213,58,310,124,182
1214,54,251,69,98
1215,50,231,99,120
1216,36,213,73,99
1217,52,195,62,109
1218,78,228,56,42
1219,52,326,81,138
1220,75,355,115,118
1221,38,189,108,93
1222,62,228,87,135
1223,51,294,70,91
1224,50,213,72,121
1225,65,230,70,103
1226,89,348,94,168
1227,38,148,63,60
1228,85,347,85,187
1229,62,376,85,139
1230,107,408,47,54
1231,91,418,79,146
1232,74,352,122,113
1233,82,322,100,127
1234,105,443,83,159
1235,43,211,80,95
1236,74,310,70,112
1237,38,208,68,101
1238,39,214,54,112
1239,74,385,97,130
1240,94,402,96,161
1241,49,268,76,148
1242,46,241,38,63
1243,55,218,62,91
1244,83,404,70,135
1245,0,0,0,0
1246,61,229,66,106
1247,89,374,61,122
1248,74,401,94,121
1249,83,359,71,146
1250,54,239,93,118
1251,55,249,86,142
1252,83,293,83,147
1253,75,314,104,177
1254,0,0,0,0
1255,51,242,62,50
1256,67,361,90,159
1257,104,357,84,153
1258,55,411,90,114
1259,0,0,0,0
1260,34,198,33,57
1261,0,0,0,0
1262,45,208,59,108
1263,56,223,38,70
1264,75,271,56,110
1265,46,267,62,116
1266,62,352,58,137
1267,75,390,82,117
1268,86,324,80,113
1269,62,262,71,90
1270,54,216,49,143
1271,55,256,41,47
1272,63,229,50,64
1273,78,228,56,42
1274,50,252,53,82
1275,55,279,52,79
1276,80,272,53,121
1277,62,236,65,75
1278,99,471,91,108
1279,97,398,106,138
1280,57,216,72,87
1281,56,208,78,70
1282,41,209,74,85
1283,49,250,76,93
1284,55,251,62,55
1285,109,367,65,113
1286,67,372,100,141
1287,61,277,45,82
1288,0,0,0,0
1289,43,223,83,124
1290,55,239,73,114
1291,51,258,47,140
1292,64,341,64,135
1293,43,247,62,57
1294,69,318,78,117
1295,70,325,73,128
1296,0,0,0,0
1297,51,188,75,97
1298,83,426,50,157
1299,64,317,59,187
1300,98,374,72,90
1301,80,420,90,184
1302,49,221,49,60
1303,118,470,93,129
1304,104,347,100,111
1305,74,385,97,130
1306,0,0,0,0
1307,95,391,78,139
1308,0,0,0,0
1309,55,375,55,123
1310,44,186,70,132
1311,55,226,79,132
1312,71,295,39,85
1313,59,289,55,109
1314,67,247,51,89
1315,72,360,84,166
1316,71,283,72,106
1317,65,263,14,92
1318,58,323,76,104
1319,63,251,60,110
1320,53,240,77,103
1321,108,327,77,119
1322,101,415,110,126
1323,74,384,84,114
1324,53,257,71,95
1325,0,0,0,0
1326,59,283,36,113
1327,76,268,71,99
1328,50,228,71,135
1329,61,252,57,123
1330,50,290,76,78
1331,72,394,64,177
1332,49,239,55,132
1333,54,225,76,122
1334,64,276,44,99
1335,0,0,0,0
1336,74,315,97,125
1337,59,310,110,138
1338,50,252,53,82
1339,47,226,72,41
1340,74,337,82,122
1341,65,232,42,58
1342,73,262,91,112
1343,52,266,60,109
1344,46,225,51,121
1345,75,288,47,82
1346,0,0,0,0
1347,95,391,78,139
